datetime,open,high,low,close
2022-08-12T10:45:00+05:30,17963.7,17980.55,17960.05,17980.55
2022-08-12T10:50:00+05:30,17980.4,18000.9,17977.35,17999.25
2022-08-12T10:55:00+05:30,17998.05,18001.8,17994.45,18000.2
2022-08-12T11:00:00+05:30,18000.35,18007.9,17998.3,18001.95
2022-08-12T11:05:00+05:30,18001.4,18013.1,18000.3,18012.15
2022-08-12T11:10:00+05:30,18012.35,18012.75,18005.95,18009
2022-08-12T11:15:00+05:30,18008.75,18010.1,18002.65,18009.75
2022-08-12T11:20:00+05:30,18009.55,18031.4,18001,18031
2022-08-12T11:25:00+05:30,18031.5,18043.1,18027.35,18040.3
2022-08-12T11:30:00+05:30,18040.05,18046.8,18036.05,18038.35
2022-08-12T11:35:00+05:30,18037.1,18049.6,18037.1,18043.3
2022-08-12T11:40:00+05:30,18043.45,18043.9,18029.7,18034.5
2022-08-12T11:45:00+05:30,18034.15,18041.85,18031.55,18037.65
2022-08-12T11:50:00+05:30,18037.2,18040.75,18024.3,18030
2022-08-12T11:55:00+05:30,18030.1,18031.95,18023.2,18025.6
2022-08-12T12:00:00+05:30,18025.4,18030.95,18024.65,18028.65
2022-08-12T12:05:00+05:30,18028.75,18041.6,18027.3,18039.65
2022-08-12T12:10:00+05:30,18039.85,18046.25,18037.8,18039.85
2022-08-12T12:15:00+05:30,18039.65,18040.9,18026.5,18029.65
2022-08-12T12:20:00+05:30,18030.3,18040.55,18028.3,18040.55
2022-08-12T12:25:00+05:30,18040.85,18053.85,18039.4,18049.7
2022-08-12T12:30:00+05:30,18050.2,18051.05,18041.65,18046.1
2022-08-12T12:35:00+05:30,18046.6,18057.05,18045.5,18055.2
2022-08-12T12:40:00+05:30,18055.5,18058.75,18052.65,18057.1
2022-08-12T12:45:00+05:30,18057.2,18061.65,18050.05,18060.25
2022-08-12T12:50:00+05:30,18060.15,18065.15,18060.15,18060.85
2022-08-12T12:55:00+05:30,18060.95,18070.95,18060.9,18068.1
2022-08-12T13:00:00+05:30,18068.3,18072.85,18056.6,18056.6
2022-08-12T13:05:00+05:30,18057.75,18058.5,18041.85,18052.55
